responseid	respid	interview_start	interview_end	status	In your current role do you carry out primary research?	Have you published a manuscript in the past 3 years?				How familiar are you with the term reproducibility when referring to publishing scientific content.	Could you please briefly tell us what reproducibility means to you.	"Is a 'crisis of reproducibility' something you have heard of before, as an issue in science?"							Which of the following statement regarding a 'crisis or reproducibility' within the science community do you agree with?	To what extent do you feel that the crisis in reproducibility is suitably flagged?	"In your opinion, what proportion of published results in your field are reproducible? i.e. the results of a given study could be replicated exactly or reproduced in multiple similar experimental systems with variations of experimental settings such as materials and experimental model)"	"Please complete the following sentence: ""In my opinion, the level of reproducibility in my field is…"	To what extent do you agree or disagree with the following statements?		Please use the box below to tell us more about your answer:	How often do you do any of the following?			Have you encountered efforts or directives from funding agencies designed to improve reproducibility of the work you do?	To what extent do you agree/disagree with the following statements?			Please use the box below to tell us more about existing efforts that you've encountered and why you think they do or do not help:	Have you encountered efforts from journal publishers designed to enhance or ensure the reproducibility of your work (e.g. using checklists to ensure standards for describing research methods)?	To what extent do you agree/disagree with the following statements?			Please use the box below to tell us more about existing efforts that you've encountered and why you think they do or do not help:	Have you and/or your lab group established any procedures to ensure reproducibility in your work?	Use the box below to tell us about the steps that have been taken to ensure reproducibility in your work?	When did you and/or your lab group establish these procedures?	Do you think the quality of your research changed after these changes were introduced?	"What kind of an impact, overall, have the changes you made to ensure reproducibility had on your lab?"	Please tell us about any other positive or negative impacts these changes have had on your lab:	Do you think that you and/or your lab should implement any further changes?	Please use the box below to tell us about what further changes you think should be implemented: 	Have you identified any barriers to implementing changes that would improve reproducibility of research in your lab? 	Please tell us about the barriers that you have identified:	To what extent do you agree or disagree with the following statements:		Please use the scale below to indicate how much each of the following factors contributes to a failure to reproduce results:														Please tell us about any other important factors you feel we may have missed that contribute to irreproducible results:	Please use the scale below to indicate how likely you think the following factors would be to improve the reproducibility of research.											"Please tell us about any other important factors you feel we may have missed, and you think would improve reproducibility of research:"	"Which, if any, of the following have you done?"						Has anyone ever told you that they could not reproduce results from one of your own experiments?	What did you do?	How many members are in your lab?	What is your age?	Which of the following job titles best applies to you?	Other job title	Which of the following best describes your area of interest?	Other area of interest	What is your specialty within astronomy?	Other specialty within astronomy?	What is your specialty within biology?	Other specialty within biology	What is your specialty within chemistry?	Other specialty within chemistry	What is your specialty within earth and environmental science?	Other specialty within earth and environmental science?	What is your specialty within engineering?	Other specialty within engineering?	What is your specialty within material science?	Other specialty within material science?	What is your specialty within medicine?	Other specialty within medicine?	What is your specialty within physics?	Other specialty within physics?	In which continent do you live?	Which country in Asia (including Middle East)?	Which country in Australasia?	Which country in Africa?	Which country in Europe?	Which country in North America (including Central America and the Caribbean)?	Which country in South America?			
180	180	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	"The result of a study must be robust, hence any other group, given the right information (in the published paper) and data must be able to reproduce the results."	1	1	1	1	0		0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	Neither agree nor disagree	Agree	"My field is is deeply quantitative and not experimental, so it suffers less from the problem of reproducibility. In general, many studies are not driven by finding robust scientific result but by publishing need, forcing them to make short-cut in analysis and interpretation. Nature is particularly prone to this kind of studies"	Daily	Weekly	Daily	No					Yes	Disagree	Disagree	Strongly agree	"The availability of data is a first necessary step for reproducibility of results, which is still not enforced by most journals. Then the enforced short size of papers prevents from complete description of materials and methods (analyses or experimentation) hindering reproducibility"	No								No		Agree	Disagree	Sometimes contributes	Always contributes	Very often contributes	Very often contributes	Sometimes contributes	I don't know	Very often contributes	I don't know	Rarely contributes	Sometimes contributes	Rarely contributes	Rarely contributes	Rarely contributes	Never contributes	Lack of ethics in science	Likely	Likely	Likely	Likely	Very likely	Likely	Not at all likely	Likely	Not at all likely	Likely	Not very likely	Journal should absolutely enforce reproducibility but checklists are useless. Hire people to check this !	No	Yes	No	Yes	No	No	No		6-10 members	25 - 34	Post-doctoral Fellow		Biology				Bioinformatics and Computational Biology														Europe				Switzerland					
188	188	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	Being able to repeat a given experiment/procedure and to obtain statistically consistent results.	1	1	0	1	1	scientific blogs	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	Strongly agree	Agree		Weekly	Monthly	Monthly	No					No					No								Yes	"- Cost (would require more computational resources, and in turn require larger grants) - Publication pressure (would slow down publication of results and perhaps force to start again) - Time (would require more time for individual projects) - Trust (would be awkward sometimes between co-workers)"	Neither agree nor disagree	Strongly disagree	Rarely contributes	Very often contributes	Very often contributes	Sometimes contributes	Very often contributes	Very often contributes	Very often contributes	Sometimes contributes	Very often contributes	Very often contributes	Rarely contributes	Sometimes contributes	Sometimes contributes	Sometimes contributes		Very likely	Very likely	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Not very likely	Likely		Yes	Yes	No	No	No	No	No		6-10 members	25 - 34	Post-doctoral Fellow		Biology				Structural Biology														Europe				Germany					
190	190	08/10/2015	08/10/2015	complete	Yes	1	1	0	0	Very familiar	Ability to repeat one's experiment and obtain similar conclusion as published.	1	1	1	1	0		0	There is a slight crisis of reproducibility	Too much	80%	"...better than for other scientific fields on average."""	Disagree	Strongly disagree		Never	Quarterly	Quarterly	No					Yes	Strongly agree	Strongly agree	Strongly disagree		Yes		The procedures have been in place since I started working in my lab	"Yes, the quality of my research has improved"	These changes have had a positive impact on my lab		Yes		No		Strongly agree	Disagree	Rarely contributes	Always contributes	Rarely contributes	Never contributes	Sometimes contributes	Never contributes	Rarely contributes	Very often contributes	Very often contributes	Very often contributes	Very often contributes	Very often contributes	Very often contributes	Sometimes contributes		Not very likely	Not very likely	Very likely	Very likely	Very likely	Very likely	Not very likely	Not at all likely	Not at all likely	Very likely	Not very likely		Yes	Yes	Yes	No	No	No	Yes	Assist in their reproduction process	6-10 members	35 - 44	Principal Investigator		Biology				Immunology														North America (including Central America and the Caribbean)					United States				
196	196	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Fairly familiar		0	1	0	0	0		0	There is a significant crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Strongly agree	Strongly agree		Weekly	Monthly	Daily	Yes	Disagree	Neither agree nor disagree	Strongly agree		Not applicable					Yes		The procedures have been in place since I started working in my lab	I don't know	These changes have had a positive impact on my lab		Yes		Yes		Neither agree nor disagree	Strongly disagree	Sometimes contributes	Sometimes contributes	Very often contributes	Always contributes	Sometimes contributes	Sometimes contributes	Rarely contributes	Very often contributes	Very often contributes	Very often contributes	Sometimes contributes	Sometimes contributes	Sometimes contributes	Rarely contributes		Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely		No	Yes	No	No	No	No	No		6-10 members	18 - 24	Student		Medicine														Nephrology				North America (including Central America and the Caribbean)					Canada				
202	202	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	How well the findings of a study can be replicated with the same or different methods	1	1	1	1	0		0	There is a significant crisis of reproducibility	A reasonable amount	10%	"...worse than for other scientific fields on average."""	Strongly agree	Agree		Weekly	Quarterly	Quarterly	No					Yes	Strongly agree	Strongly agree	Strongly agree		No								I don't know		Neither agree nor disagree	Neither agree nor disagree	Rarely contributes	Very often contributes	Sometimes contributes	Very often contributes	Always contributes	Very often contributes	Very often contributes	Sometimes contributes	Sometimes contributes	Sometimes contributes	Very often contributes	Rarely contributes	Sometimes contributes	Very often contributes		Very likely	Very likely	Not very likely	Not very likely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Likely		Yes	Yes	No	No	No	No	No		11-25 members	25 - 34	PhD Student		Biology				Molecular Biology														Europe				Norway					
203	203	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	"I consider a study to be reproducible if the details, methods and circumstances that are significant to its result are all well-defined in unambiguous, quantitative terms, and if said replication of the experiment leads to results that are equal or reasonably close to the original ones."	0	1	0	1	0		0	There is a significant crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	Disagree	Neither agree nor disagree	"I think the failure to reproduce studies is a risk everywhere, but is especially relevant in some fields which have to struggle because of their own nature with small samples and use of somewhat empirical indicators (like epidemiology and nutrition science)."	Daily	Monthly	Quarterly	Not applicable					No					Yes	"I work in computational science, so it is standard good practice for us to document and comment well our code and to always keep track of the parameters that give rise to certain results. The software we develop is designed to have built-in fail-safes that make it very difficult for users to lose the parameters required to reproduce their simulations while keeping the results themselves."	The procedures have been in place since I started working in my lab	I don't know	These changes have had a positive impact on my lab		I am unsure		No		Neither agree nor disagree	Strongly disagree	Rarely contributes	Very often contributes	Very often contributes	Sometimes contributes	Very often contributes	Sometimes contributes	Sometimes contributes	I don't know	Very often contributes	Very often contributes	Sometimes contributes	Sometimes contributes	I don't know	Never contributes		Likely	Very likely	Likely	Not very likely	Likely	Likely	Very likely	Likely	Not very likely	Likely	Likely		No	Yes	No	No	No	No	No		1-5 members	25 - 34	Post-doctoral Fellow		Materials Science												"Computation, Modelling & Theory"						Europe				United Kingdom					
220	220	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar		1	1	0	1	0		0	There is a slight crisis of reproducibility	Too much	60%	"...about the same as for other scientific fields on average"""	Neither agree nor disagree	Neither agree nor disagree	"1. Cutting edge work will never be wholly reproducible. When working with new results, new methods, new systems - one can never be certain.  2. And when publishing standards are what they are, especially in your journal - one cannot spend 1 year on each experiment. Consider examining one of your most recent Articles and think realistically about how long it would take a single person to perform each of those experiments to the highest standard of rigor. Be sure to consider that many of those methods had to be learned and developed. 3. The ""crisis"" is driven by people that are ignorant of science and the scientific method - many of them actually scientists. They believe science is truth, and that all data should be 100% reproducible. When they find results that are not, they think this is misconduct. It's as if they've never been at the front lines seeing new results for the first time. Certain there are rare examples of misconduct, but most of irreproducibility is just Science in Practice. And indeed science in practice of the influence of Nature Science Cell. 4. There is a crisis of publishing standards. Anyone can examine a manuscript and consider realistically the rigor with which experiments were performed given the scope. For example editors have no problem asking scientists to perform 2 years equiv of mouse experiments in the review, and do not think twice when these are complete in 6 months.   Science is and will always be uncertain. Reproducibility is what drives some results forward but is not a quality of all. Publishing standards and competition that increase the quantity required, decrease the quality and thereby harm reproducibility. The only crisis is the effect of Nature Sciece Cell on science."	Daily	Weekly	Weekly	No					Yes	Disagree	Disagree	Neither agree nor disagree		No								No		Disagree	Neither agree nor disagree	Rarely contributes	Always contributes	Sometimes contributes	Rarely contributes	Sometimes contributes	Very often contributes	Very often contributes	Very often contributes	Rarely contributes	Very often contributes	Very often contributes	Very often contributes	Sometimes contributes	Sometimes contributes		Not very likely	Not very likely	Not at all likely	Not very likely	Likely	Likely	Likely	Likely	Not at all likely	Likely	Not very likely	"-- Reducing the data quantity required to publish.  -- editors having a realistic understanding of experimental costs, timelines, etc. -- journals understanding their roles in doing this. -- editors should spend some time in labs of their topics to understand the pace of research."	Yes	Yes	Yes	No	No	No	Yes	"Repeated the experiment: in cases where it was reproduced figured out the error, if not then I re evaluated the hypthesis"	11-25 members	35 - 44	Post-doctoral Fellow		Biology				Neuroscience														North America (including Central America and the Caribbean)					United States				
226	226	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	Replication of methods to discern similar results.	0	0	1	1	0		0	There is no crisis of reproducibility	Too much	30%	"...about the same as for other scientific fields on average"""	Strongly disagree	Neither agree nor disagree		Quarterly	Monthly	Never	No					Yes	Disagree	Strongly disagree	Strongly disagree		No								No		Neither agree nor disagree	Neither agree nor disagree	Rarely contributes	Sometimes contributes	Always contributes	Sometimes contributes	Always contributes	Sometimes contributes	Sometimes contributes	Sometimes contributes	Rarely contributes	Sometimes contributes	Very often contributes	I don't know	Very often contributes	Sometimes contributes		Not very likely	Likely	Very likely	Very likely	Not very likely	Not very likely	Not very likely	Likely	Not at all likely	Very likely	I don't know		I can't remember	I can't remember	I can't remember	I can't remember	I can't remember	I can't remember	I can't remember		None	35 - 44	Associate professor/Lecturer		Other	Social scientist																	North America (including Central America and the Caribbean)					United States				
227	227	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Not very familiar		0	0	1	0	0		0	There is a slight crisis of reproducibility	Too much	50%	"...about the same as for other scientific fields on average"""	Agree	Strongly agree		Weekly	Daily	Monthly	No					No					Yes		The procedures have been in place since I started working in my lab	"Yes, the quality of my research has improved"	These changes have had a positive impact on my lab		Yes		I don't know		Agree	Neither agree nor disagree	Always contributes	Very often contributes	Sometimes contributes	Sometimes contributes	Sometimes contributes	Rarely contributes	Always contributes	Very often contributes	Sometimes contributes	Sometimes contributes	Very often contributes	Sometimes contributes	Very often contributes	Rarely contributes		Likely	Likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Likely		Yes	Yes	No	No	No	No	Yes		6-10 members	25 - 34	Research Scientist		Biology				Biotechnology														South America						Chile			
246	246	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar		1	1	1	1	0		0	There is a slight crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Agree	Strongly agree		Quarterly	Monthly	Weekly	Yes	Agree	Strongly agree	Strongly agree		Yes	Agree	Agree	Strongly agree		Yes		Within the last year	I don't know	These changes have not affected my lab		I am unsure		Yes		Agree	Disagree	Rarely contributes	Very often contributes	Very often contributes	Very often contributes	Very often contributes	Sometimes contributes	Always contributes	Sometimes contributes	Very often contributes	Very often contributes	Sometimes contributes	Very often contributes	Sometimes contributes	Rarely contributes		Likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Likely		No	Yes	No	No	No	No	No		11-25 members	25 - 34	PhD Student		Other	Social Sciences																	North America (including Central America and the Caribbean)					United States				
277	277	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	"Providing both the information necessary to allow others to reproduce experiments, but also truthful certain results are "	0	0	0	1	0		0	There is a slight crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	Strongly agree	Strongly agree		Daily	Weekly	Weekly	No					No					Yes	Ensuring all analysis parameters are standardised	Within the last year	"Yes, the quality of my research has improved"	These changes have had a positive impact on my lab		Yes		No		Agree	Neither agree nor disagree	Sometimes contributes	Very often contributes	Sometimes contributes	Very often contributes	Always contributes	Always contributes	Always contributes	Always contributes	Very often contributes	Very often contributes	Sometimes contributes	Sometimes contributes	Very often contributes	Rarely contributes		Likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely		I can't remember	Yes	No	Yes	Yes	Yes	No		6-10 members	25 - 34	PhD Student		Biology				Neuroscience														Europe				United Kingdom					
